Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,127.760002,128.380005,127.430000,127.500000,102.458969,193697900
2012-01-04,127.199997,127.809998,126.709999,127.699997,102.619667,127186500
2012-01-05,127.010002,128.229996,126.430000,128.039993,102.892914,173895000
2012-01-06,128.199997,128.220001,127.290001,127.709999,102.627731,148050000
2012-01-09,128.000000,128.179993,127.410004,128.020004,102.876823,99530200
2012-01-10,129.389999,129.649994,128.949997,129.130005,103.768845,115282000
2012-01-11,128.729996,129.369995,128.520004,129.199997,103.825073,111540700
2012-01-12,129.570007,129.699997,128.539993,129.509995,104.074196,118983700
2012-01-13,128.639999,129.050003,127.720001,128.839996,103.535805,179836200
2012-01-17,130.080002,130.320007,128.899994,129.339996,103.937607,132209200
2012-01-18,129.309998,130.839996,129.080002,130.770004,105.086746,163395200
2012-01-19,131.220001,131.570007,130.800003,131.460007,105.641235,126328900
2012-01-20,131.240005,131.949997,130.919998,131.949997,106.034988,138230200
2012-01-23,131.509995,132.250000,130.979996,131.610001,105.761765,129295800
2012-01-24,130.800003,131.500000,130.600006,131.460007,105.641235,103083300
2012-01-25,131.259995,132.869995,130.750000,132.559998,106.525192,198613200
2012-01-26,133.149994,133.399994,131.360001,131.880005,105.978745,184880500
2012-01-27,131.240005,132.050003,131.149994,131.820007,105.930534,135259100
2012-01-30,130.509995,131.440002,130.059998,131.369995,105.568878,147311800
2012-01-31,132.020004,132.179993,130.679993,131.320007,105.528717,157212000
2012-02-01,132.289993,133.139999,132.130005,132.470001,106.452866,166234500
2012-02-02,132.729996,133.020004,132.210007,132.679993,106.621605,113090400
2012-02-03,134.000000,134.619995,133.770004,134.539993,108.116295,160598500
2012-02-06,133.979996,134.509995,133.830002,134.449997,108.043976,107694500
2012-02-07,134.169998,135.020004,133.639999,134.789993,108.317200,135528100
2012-02-08,134.860001,135.220001,134.309998,135.190002,108.638649,139361400
2012-02-09,135.410004,135.589996,134.559998,135.360001,108.775269,148602900
2012-02-10,134.160004,134.470001,133.839996,134.360001,107.971695,167907500
2012-02-13,135.320007,135.520004,134.740005,135.360001,108.775269,115841900
2012-02-14,135.000000,135.270004,134.250000,135.190002,108.638649,165329500
2012-02-15,135.630005,135.830002,134.289993,134.559998,108.132385,195195100
2012-02-16,134.570007,136.169998,134.330002,136.050003,109.329765,186567800
2012-02-17,136.520004,136.630005,135.960007,136.410004,109.619049,129869400
2012-02-21,136.729996,137.050003,136.050003,136.470001,109.667267,134042300
2012-02-22,136.259995,136.550003,135.789993,136.029999,109.313667,124455300
2012-02-23,135.960007,136.729996,135.500000,136.630005,109.795868,137704300
2012-02-24,136.929993,137.199997,136.630005,136.929993,110.036903,105539100
2012-02-27,136.020004,137.529999,135.800003,137.160004,110.221748,145728900
2012-02-28,137.199997,137.720001,136.929993,137.559998,110.543190,129355900
2012-02-29,137.759995,138.190002,136.539993,137.020004,110.109222,185934700
2012-03-01,137.309998,137.990005,136.929993,137.729996,110.679802,145023500
2012-03-02,137.639999,137.820007,137.000000,137.309998,110.342285,120638300
2012-03-05,137.100006,137.199997,136.279999,136.750000,109.892281,140765000
2012-03-06,135.350006,135.429993,134.360001,134.750000,108.285072,202129900
2012-03-07,135.059998,135.910004,134.929993,135.690002,109.040466,143692200
2012-03-08,136.520004,137.320007,136.240005,137.039993,110.125298,116968900
2012-03-09,137.300003,137.929993,137.130005,137.570007,110.551193,122836800
2012-03-12,137.550003,137.759995,137.089996,137.580002,110.559227,104003500
2012-03-13,138.320007,140.130005,138.089996,140.059998,112.552193,184090500
2012-03-14,140.100006,140.449997,139.479996,139.910004,112.431648,145163600
2012-03-15,140.119995,140.779999,139.759995,140.720001,113.082527,165118500
2012-03-16,140.360001,140.479996,140.000000,140.300003,113.239128,152893500
2012-03-19,140.210007,141.279999,140.110001,140.850006,113.683037,125291100
2012-03-20,140.050003,140.610001,139.639999,140.440002,113.352158,121729700
2012-03-21,140.520004,140.649994,139.919998,140.210007,113.166481,122388400
2012-03-22,139.179993,139.550003,138.740005,139.199997,112.351295,135216700
2012-03-23,139.320007,139.809998,138.550003,139.649994,112.714523,120521000
2012-03-26,140.649994,141.610001,140.600006,141.610001,114.296478,120164000
2012-03-27,141.740005,141.830002,141.080002,141.169998,113.941307,119868500
2012-03-28,141.100006,141.320007,139.639999,140.470001,113.376328,148562100
2012-03-29,139.639999,140.490005,139.089996,140.229996,113.182655,164963700
2012-03-30,140.919998,141.050003,140.050003,140.809998,113.650787,135486800
2012-04-02,140.639999,142.210007,140.360001,141.839996,114.482124,151741100
2012-04-03,141.639999,141.880005,140.429993,141.259995,114.013977,155806700
2012-04-04,140.220001,140.339996,139.339996,139.860001,112.884018,146896000
2012-04-05,139.380005,140.199997,139.259995,139.789993,112.827484,137439400
2012-04-09,138.029999,139.839996,137.839996,138.220001,111.560356,127555900
2012-04-10,137.949997,138.339996,135.759995,135.899994,109.687798,235360300
2012-04-11,137.289993,137.539993,136.750000,137.000000,110.575638,154133000
2012-04-12,137.130005,138.899994,137.029999,138.789993,112.020401,154321500
2012-04-13,138.470001,138.820007,137.009995,137.139999,110.688660,169246700
2012-04-16,137.839996,138.039993,136.580002,137.050003,110.616005,147825300
2012-04-17,137.839996,139.360001,137.699997,139.080002,112.254486,147877600
2012-04-18,138.460007,139.080002,138.380005,138.610001,111.875084,123884200
2012-04-19,138.630005,139.149994,137.070007,137.720001,111.156769,198666700
2012-04-20,138.330002,138.830002,137.869995,137.949997,111.342415,143199600
2012-04-23,136.539993,136.910004,135.940002,136.789993,110.406151,171844900
2012-04-24,136.910004,137.660004,136.800003,137.309998,110.825851,137484200
2012-04-25,138.649994,139.250000,138.529999,139.190002,112.343239,150252200
2012-04-26,138.889999,140.320007,138.809998,140.160004,113.126137,136291600
2012-04-27,140.580002,140.789993,139.800003,140.389999,113.311821,130725000
2012-04-30,140.110001,140.210007,139.490005,139.869995,112.892075,115092200
2012-05-01,139.789993,141.660004,139.630005,140.740005,113.594276,138832200
2012-05-02,139.919998,140.460007,139.460007,140.320007,113.255272,121081000
2012-05-03,140.339996,140.449997,138.990005,139.250000,112.391632,143759700
2012-05-04,138.520004,139.300003,136.919998,137.000000,110.575638,193927300
2012-05-07,136.509995,137.559998,136.460007,137.100006,110.656326,127765900
2012-05-08,136.279999,136.770004,134.919998,136.550003,110.212440,213377700
2012-05-09,135.100006,136.610001,134.490005,135.740005,109.558693,220752500
2012-05-10,136.679993,136.850006,135.710007,136.020004,109.784668,150600000
2012-05-11,135.169998,136.869995,135.110001,135.610001,109.453728,153032400
2012-05-14,134.309998,135.610001,133.910004,134.110001,108.243057,163910000
2012-05-15,134.020004,134.809998,133.130005,133.339996,107.621567,207629300
2012-05-16,133.940002,134.550003,132.800003,132.830002,107.209938,207265500
2012-05-17,132.860001,133.020004,130.789993,130.860001,105.619926,247992900
2012-05-18,131.369995,131.600006,129.550003,129.740005,104.715942,319615900
